prompt,health_ailment,date
I have had Anxiety Disorder since 2020/02/22 – 2020/02/25.,Anxiety Disorder,2020/02/22 – 2020/02/25
I've been experiencing Peptic Ulcer Disease since During the holiday season 2019.,Peptic Ulcer Disease,During the holiday season 2019
I’ve been suffering from Migraine ever since Last month.,Migraine,Last month
I’ve been suffering from Obesity ever since 2019/11/10 – 2019/11/12.,Obesity,2019/11/10 – 2019/11/12
Hypotension (Low Blood Pressure) have been affecting me since 2020/01/20 – 2020/01/25.,Hypotension (Low Blood Pressure),2020/01/20 – 2020/01/25
I have had Osteoarthritis since 2019/11/18 – 2019/11/22.,Osteoarthritis,2019/11/18 – 2019/11/22
Exertional Rhabdomyolysis have been affecting me since 2020/01/11 – 2020/01/15.,Exertional Rhabdomyolysis,2020/01/11 – 2020/01/15
I have Gallstones since During the holiday season 2019.,Gallstones,During the holiday season 2019
I’ve been suffering from Achilles Tendinitis ever since From 07:00 PM to 10:00 PM yesterday.,Achilles Tendinitis,From 07:00 PM to 10:00 PM yesterday
"Since Past 2 weeks, I’ve been dealing with Fibromyalgia.",Fibromyalgia,Past 2 weeks
I've been experiencing Orthostatic Intolerance since Past 2 weeks.,Orthostatic Intolerance,Past 2 weeks
I have had Epilepsy since 2020/02/15 – 2020/02/20.,Epilepsy,2020/02/15 – 2020/02/20
I've been experiencing Obesity since Last 3 hours.,Obesity,Last 3 hours
I've been experiencing Rosacea since 2019/12/20 – 2019/12/27.,Rosacea,2019/12/20 – 2019/12/27
Type 2 Diabetes have been affecting me since 2020/02/11 – 2020/02/14.,Type 2 Diabetes,2020/02/11 – 2020/02/14
I’ve been suffering from Asthma ever since 2019/11/29 – 2019/12/15.,Asthma,2019/11/29 – 2019/12/15
I have had Anemia Eczema (Atopic Dermatitis) since 03/01/2020 – 03/15/2020.,Anemia Eczema (Atopic Dermatitis),03/01/2020 – 03/15/2020
I've been experiencing Asthma since Last 3 hours.,Asthma,Last 3 hours
I have had Irritable Bowel Syndrome (IBS) since 2019/11/29 – 2019/12/15.,Irritable Bowel Syndrome (IBS),2019/11/29 – 2019/12/15
I have had Muscle Strain since 12/30/2019 – 01/10/2020.,Muscle Strain,12/30/2019 – 01/10/2020
"I’ve been suffering from Acid Reflux (GERD) ever since Today, 08:00 AM – 11:00 AM.",Acid Reflux (GERD),"Today, 08:00 AM – 11:00 AM"
I've been experiencing Bradycardia (Slow Heart Rate) since This month (up to today).,Bradycardia (Slow Heart Rate),This month (up to today)
I have had Delayed Onset Muscle Soreness (DOMS) since The second half of November 2019.,Delayed Onset Muscle Soreness (DOMS),The second half of November 2019
I have had Allergic Rhinitis (Seasonal Allergies) since 03/11/2020 – 03/14/2020.,Allergic Rhinitis (Seasonal Allergies),03/11/2020 – 03/14/2020
I've been experiencing Restless Legs Syndrome since Since my last doctor’s visit.,Restless Legs Syndrome,Since my last doctor’s visit
I've been experiencing Plantar Fasciitis since Last month.,Plantar Fasciitis,Last month
I've been experiencing Migraine since 2020/02/15 – 2020/02/20.,Migraine,2020/02/15 – 2020/02/20
Iliotibial Band Syndrome (ITBS) have been affecting me since 2020/01/11 – 2020/01/15.,Iliotibial Band Syndrome (ITBS),2020/01/11 – 2020/01/15
I've been experiencing Osteoarthritis since 03/01/2020 – 03/15/2020.,Osteoarthritis,03/01/2020 – 03/15/2020
I’ve been suffering from Allergic Rhinitis (Seasonal Allergies) ever since During Spring 2020.,Allergic Rhinitis (Seasonal Allergies),During Spring 2020
I have had Peripheral Neuropathy since Last 3 months.,Peripheral Neuropathy,Last 3 months
Fibromyalgia have been affecting me since 2019/12/20 – 2019/12/27.,Fibromyalgia,2019/12/20 – 2019/12/27
I've been experiencing Psoriasis Urinary Tract Infection (UTI) since 03/21/2020 – 03/25/2020.,Psoriasis Urinary Tract Infection (UTI),03/21/2020 – 03/25/2020
"Since 2020/02/05 – 2020/02/10, I’ve been dealing with Polycystic Ovary Syndrome (PCOS).",Polycystic Ovary Syndrome (PCOS),2020/02/05 – 2020/02/10
Joint Sprain have been affecting me since 2020/01/01 – 2020/01/07.,Joint Sprain,2020/01/01 – 2020/01/07
Heat Exhaustion have been affecting me since Past 30 days.,Heat Exhaustion,Past 30 days
I have Hyperthyroidism since Past 6 hours.,Hyperthyroidism,Past 6 hours
Runner’s Knee (Patellofemoral Pain Syndrome) have been affecting me since Yesterday.,Runner’s Knee (Patellofemoral Pain Syndrome),Yesterday
Chronic Back Pain have been affecting me since 03/15/2020 – 03/19/2020.,Chronic Back Pain,03/15/2020 – 03/19/2020
I have had High Cholesterol (Hyperlipidemia) since 2020/02/22 – 2020/02/25.,High Cholesterol (Hyperlipidemia),2020/02/22 – 2020/02/25
I have Restless Legs Syndrome since 03/21/2020 – 03/25/2020.,Restless Legs Syndrome,03/21/2020 – 03/25/2020
I have had Type 2 Diabetes since Past 6 hours.,Type 2 Diabetes,Past 6 hours
I have Irritable Bowel Syndrome (IBS) since 2019/11/05 – 2019/11/06.,Irritable Bowel Syndrome (IBS),2019/11/05 – 2019/11/06
Heat Exhaustion have been affecting me since Past 12 hours.,Heat Exhaustion,Past 12 hours
"Since Last 3 hours, I’ve been dealing with Chronic Back Pain.",Chronic Back Pain,Last 3 hours
I've been experiencing Attention Deficit Hyperactivity Disorder (ADHD) since The entire month of February 2020.,Attention Deficit Hyperactivity Disorder (ADHD),The entire month of February 2020
I have Delayed Onset Muscle Soreness (DOMS) since During the holiday season 2019.,Delayed Onset Muscle Soreness (DOMS),During the holiday season 2019
I have Hypothyroidism since 2019/12/15 – 2019/12/19.,Hypothyroidism,2019/12/15 – 2019/12/19
Hypertrophic Cardiomyopathy have been affecting me since Last weekend.,Hypertrophic Cardiomyopathy,Last weekend
Osteoarthritis have been affecting me since Yesterday.,Osteoarthritis,Yesterday
I've been experiencing Rosacea since 03/26/2020 – 03/29/2020.,Rosacea,03/26/2020 – 03/29/2020
I have had Hypothyroidism since Yesterday.,Hypothyroidism,Yesterday
I have Heart Palpitations since This month (up to today).,Heart Palpitations,This month (up to today)
Hypertension (High Blood Pressure) have been affecting me since From 07:00 PM to 10:00 PM yesterday.,Hypertension (High Blood Pressure),From 07:00 PM to 10:00 PM yesterday
Type 2 Diabetes have been affecting me since Past week.,Type 2 Diabetes,Past week
Bradycardia (Slow Heart Rate) have been affecting me since Past 30 days.,Bradycardia (Slow Heart Rate),Past 30 days
Insomnia have been affecting me since Past 3 hours.,Insomnia,Past 3 hours
I've been experiencing Shin Splints since Since last night at midnight.,Shin Splints,Since last night at midnight
I have had Glaucoma since Past 6 hours.,Glaucoma,Past 6 hours
"Since For the past 4 days, I’ve been dealing with Gout.",Gout,For the past 4 days
I've been experiencing Tachycardia (Fast Heart Rate) since 2019/11/29 – 2019/12/15.,Tachycardia (Fast Heart Rate),2019/11/29 – 2019/12/15
"Since Yesterday, I’ve been dealing with Allergic Rhinitis (Seasonal Allergies).",Allergic Rhinitis (Seasonal Allergies),Yesterday
"Since Since turning 30 years old, I’ve been dealing with Insomnia.",Insomnia,Since turning 30 years old
I've been experiencing Attention Deficit Hyperactivity Disorder (ADHD) since 03/26/2020 – 03/29/2020.,Attention Deficit Hyperactivity Disorder (ADHD),03/26/2020 – 03/29/2020
I have had Anxiety Disorder since Between 02/10/2020 and 02/20/2020.,Anxiety Disorder,Between 02/10/2020 and 02/20/2020
I have had Chronic Kidney Disease since Last weekend.,Chronic Kidney Disease,Last weekend
I have Common Cold since Past 3 hours.,Common Cold,Past 3 hours
I have had Osteoarthritis since Between 02/10/2020 and 02/20/2020.,Osteoarthritis,Between 02/10/2020 and 02/20/2020
I've been experiencing Shin Splints since Past 6 hours.,Shin Splints,Past 6 hours
I've been experiencing Runner’s Knee (Patellofemoral Pain Syndrome) since Last month.,Runner’s Knee (Patellofemoral Pain Syndrome),Last month
I’ve been suffering from Gout ever since 2020/02/05 – 2020/02/10.,Gout,2020/02/05 – 2020/02/10
I've been experiencing Celiac Disease since Every morning this week.,Celiac Disease,Every morning this week
I’ve been suffering from Chronic Kidney Disease ever since Since last night at midnight.,Chronic Kidney Disease,Since last night at midnight
"Since 2019/11/03 – 2019/11/07, I’ve been dealing with Insomnia.",Insomnia,2019/11/03 – 2019/11/07
I've been experiencing Celiac Disease since Yesterday.,Celiac Disease,Yesterday
I’ve been suffering from Glaucoma ever since 03/21/2020 – 03/25/2020.,Glaucoma,03/21/2020 – 03/25/2020
I have had Restless Legs Syndrome since 03/15/2020 – 03/19/2020.,Restless Legs Syndrome,03/15/2020 – 03/19/2020
I have Rosacea since Last 2 months.,Rosacea,Last 2 months
"Since For the past 4 days, I’ve been dealing with Common Cold.",Common Cold,For the past 4 days
I've been experiencing Postural Orthostatic Tachycardia Syndrome (POTS) since 2019/11/29 – 2019/12/15.,Postural Orthostatic Tachycardia Syndrome (POTS),2019/11/29 – 2019/12/15
I have Muscle Strain since Past 2 weeks.,Muscle Strain,Past 2 weeks
Overtraining Syndrome have been affecting me since Last month.,Overtraining Syndrome,Last month
"Since 03/26/2020 – 03/29/2020, I’ve been dealing with Achilles Tendinitis.",Achilles Tendinitis,03/26/2020 – 03/29/2020
I have Insomnia since Since last night at midnight.,Insomnia,Since last night at midnight
"Since 2019/12/15 – 2019/12/19, I’ve been dealing with Migraine.",Migraine,2019/12/15 – 2019/12/19
I’ve been suffering from Shin Splints ever since Last month.,Shin Splints,Last month
I've been experiencing Common Cold since Past 1 hour.,Common Cold,Past 1 hour
I’ve been suffering from Depression ever since 03/06/2020 – 03/10/2020.,Depression,03/06/2020 – 03/10/2020
"Since Past 1 hour, I’ve been dealing with Gout.",Gout,Past 1 hour
I have had Chronic Fatigue Syndrome since 2020/02/22 – 2020/02/25.,Chronic Fatigue Syndrome,2020/02/22 – 2020/02/25
I've been experiencing Exercise-Induced Hypoglycemia since From 03/01/2020 to 03/07/2020.,Exercise-Induced Hypoglycemia,From 03/01/2020 to 03/07/2020
I've been experiencing Achilles Tendinitis since 2020/01/20 – 2020/01/25.,Achilles Tendinitis,2020/01/20 – 2020/01/25
I have Hyperthyroidism since 03/15/2020 – 03/19/2020.,Hyperthyroidism,03/15/2020 – 03/19/2020
I have Obesity since 2020/02/22 – 2020/02/25.,Obesity,2020/02/22 – 2020/02/25
I've been experiencing Rosacea since From 07:00 PM to 10:00 PM yesterday.,Rosacea,From 07:00 PM to 10:00 PM yesterday
I have Runner’s Knee (Patellofemoral Pain Syndrome) since During Spring 2020.,Runner’s Knee (Patellofemoral Pain Syndrome),During Spring 2020
I have had Chronic Back Pain since Last 3 months.,Chronic Back Pain,Last 3 months
"Since 2019/11/10 – 2019/11/12, I’ve been dealing with Migraine.",Migraine,2019/11/10 – 2019/11/12
Shingles (Herpes Zoster) have been affecting me since Over the last school semester.,Shingles (Herpes Zoster),Over the last school semester
"Since 2019/12/08 – 2019/12/12, I’ve been dealing with Gallstones.",Gallstones,2019/12/08 – 2019/12/12
I have had Restless Legs Syndrome since Past 1 hour.,Restless Legs Syndrome,Past 1 hour
I’ve been suffering from Shin Splints ever since 2019/11/10 – 2019/11/12.,Shin Splints,2019/11/10 – 2019/11/12
I’ve been suffering from Peptic Ulcer Disease ever since 03/01/2020 – 03/15/2020.,Peptic Ulcer Disease,03/01/2020 – 03/15/2020
I have Irritable Bowel Syndrome (IBS) since 2020/02/22 – 2020/02/25.,Irritable Bowel Syndrome (IBS),2020/02/22 – 2020/02/25
Hypotension (Low Blood Pressure) have been affecting me since Last 3 months.,Hypotension (Low Blood Pressure),Last 3 months
I’ve been suffering from Iliotibial Band Syndrome (ITBS) ever since For the past 10 minutes.,Iliotibial Band Syndrome (ITBS),For the past 10 minutes
I have had Epilepsy since 03/21/2020 – 03/25/2020.,Epilepsy,03/21/2020 – 03/25/2020
Bradycardia (Slow Heart Rate) have been affecting me since Last month.,Bradycardia (Slow Heart Rate),Last month
I have had Iliotibial Band Syndrome (ITBS) since 2020/01/01 – 2020/01/07.,Iliotibial Band Syndrome (ITBS),2020/01/01 – 2020/01/07
I've been experiencing Gallstones since Since the beginning of this year.,Gallstones,Since the beginning of this year
I’ve been suffering from Restless Legs Syndrome ever since 2020/01/11 – 2020/01/15.,Restless Legs Syndrome,2020/01/11 – 2020/01/15
I have Gallstones since The second half of November 2019.,Gallstones,The second half of November 2019
I've been experiencing Achilles Tendinitis since For the past 4 days.,Achilles Tendinitis,For the past 4 days
"Since 2019/12/20 – 2019/12/27, I’ve been dealing with Heat Exhaustion.",Heat Exhaustion,2019/12/20 – 2019/12/27
"I've been experiencing Hyperthyroidism since Today, 08:00 AM – 11:00 AM.",Hyperthyroidism,"Today, 08:00 AM – 11:00 AM"
"I’ve been suffering from High Cholesterol (Hyperlipidemia) ever since Today, 08:00 AM – 11:00 AM.",High Cholesterol (Hyperlipidemia),"Today, 08:00 AM – 11:00 AM"
"Since 2019/11/05 – 2019/11/06, I’ve been dealing with Hypertension (High Blood Pressure).",Hypertension (High Blood Pressure),2019/11/05 – 2019/11/06
I’ve been suffering from Orthostatic Intolerance ever since 03/06/2020 – 03/10/2020.,Orthostatic Intolerance,03/06/2020 – 03/10/2020
I’ve been suffering from Pneumonia ever since Past 2 weeks.,Pneumonia,Past 2 weeks
I’ve been suffering from Migraine ever since During Spring 2020.,Migraine,During Spring 2020
I have had Peripheral Neuropathy since 03/20/2020 – 03/27/2020.,Peripheral Neuropathy,03/20/2020 – 03/27/2020
I have Orthostatic Intolerance since 2019/12/08 – 2019/12/12.,Orthostatic Intolerance,2019/12/08 – 2019/12/12
I’ve been suffering from Anxiety Disorder ever since Last 36 hours.,Anxiety Disorder,Last 36 hours
"Since 2019/11/03 – 2019/11/07, I’ve been dealing with Exercise-Induced Hypoglycemia.",Exercise-Induced Hypoglycemia,2019/11/03 – 2019/11/07
"Since The first week of November 2019, I’ve been dealing with Hypotension (Low Blood Pressure).",Hypotension (Low Blood Pressure),The first week of November 2019
Restless Legs Syndrome have been affecting me since 2019/11/05 – 2019/11/06.,Restless Legs Syndrome,2019/11/05 – 2019/11/06
I’ve been suffering from Chronic Kidney Disease ever since 03/15/2020 – 03/19/2020.,Chronic Kidney Disease,03/15/2020 – 03/19/2020
I have had Osteoarthritis since 03/01/2020 – 03/05/2020.,Osteoarthritis,03/01/2020 – 03/05/2020
I’ve been suffering from Peptic Ulcer Disease ever since 12/30/2019 – 01/10/2020.,Peptic Ulcer Disease,12/30/2019 – 01/10/2020
I have Anemia Eczema (Atopic Dermatitis) since Past 1 hour.,Anemia Eczema (Atopic Dermatitis),Past 1 hour
"Since During the holiday season 2019, I’ve been dealing with Shin Splints.",Shin Splints,During the holiday season 2019
I've been experiencing Muscle Strain since Past 30 days.,Muscle Strain,Past 30 days
I’ve been suffering from Chronic Back Pain ever since 03/01/2020 – 03/05/2020.,Chronic Back Pain,03/01/2020 – 03/05/2020
I have had Overtraining Syndrome since For the past 10 minutes.,Overtraining Syndrome,For the past 10 minutes
"Since 2020/02/15 – 2020/02/20, I’ve been dealing with Irritable Bowel Syndrome (IBS).",Irritable Bowel Syndrome (IBS),2020/02/15 – 2020/02/20
I’ve been suffering from Common Cold ever since Last 3 months.,Common Cold,Last 3 months
I have Muscle Strain since 03/01/2020 – 03/05/2020.,Muscle Strain,03/01/2020 – 03/05/2020
Muscle Strain have been affecting me since Every morning this week.,Muscle Strain,Every morning this week
I've been experiencing Bradycardia (Slow Heart Rate) since Yesterday.,Bradycardia (Slow Heart Rate),Yesterday
"Since 2020/02/22 – 2020/02/25, I’ve been dealing with Shin Splints.",Shin Splints,2020/02/22 – 2020/02/25
Myofascial Pain Syndrome have been affecting me since 2020/02/15 – 2020/02/20.,Myofascial Pain Syndrome,2020/02/15 – 2020/02/20
